56,70,159,180,192,26,55,,,,,
70,56,180,159,,,,,,,,
70,56,180,192,159,147,,,,,,
70,56,192,180,159,147,,,,,,
70,56,180,192,147,,,,,,,
70,56,180,192,147,,,,,,,
70,56,180,192,147,,,,,,,
70,56,180,192,147,,,,,,,
70,56,180,192,147,,,,,,,
70,56,180,192,147,,,,,,,
70,56,180,192,,,,,,,,
56,180,192,70,,,,,,,,
56,180,192,70,,,,,,,,
56,180,70,192,55,,,,,,,
56,70,180,192,55,,,,,,,
56,70,180,144,192,,,,,,,
56,180,70,192,144,55,159,,,,,
56,180,70,55,144,192,159,,,,,
56,70,180,55,144,192,159,,,,,
70,55,180,56,192,159,26,,,,,
70,56,55,180,192,159,26,,,,,
70,55,56,180,144,192,159,26,,,,
70,56,55,180,144,192,159,26,,,,
70,56,55,180,192,159,,,,,,
70,55,56,180,159,192,,,,,,
70,55,56,180,192,159,,,,,,
70,55,180,56,192,159,61,,,,,
70,180,56,55,192,159,61,,,,,
70,180,159,56,192,55,61,,,,,
180,70,56,159,192,61,,,,,,
180,70,159,55,192,61,,,,,,
180,70,55,159,61,,,,,,,
70,180,55,159,61,,,,,,,
70,55,180,26,61,159,,,,,,
70,55,180,26,61,159,,,,,,
70,55,180,26,,,,,,,,
70,180,55,,,,,,,,,
70,180,55,,,,,,,,,
70,180,55,26,61,,,,,,,
70,55,180,26,61,,,,,,,
70,55,61,73,180,26,,,,,,
70,180,55,73,26,61,,,,,,
70,55,192,61,180,73,26,,,,,
70,85,55,180,192,61,26,,,,,
70,55,85,61,180,192,56,,,,,
70,55,26,180,56,85,61,,,,,
70,55,85,26,180,56,61,,,,,
70,55,26,73,180,56,61,,,,,
70,55,180,26,73,,,,,,,
70,55,180,26,73,,,,,,,
70,55,26,180,73,,,,,,,
70,55,147,180,73,26,,,,,,
70,147,55,73,180,26,,,,,,
70,55,147,85,73,180,,,,,,
70,55,147,85,26,73,180,,,,,
70,55,147,85,26,73,,,,,,
70,55,147,85,26,73,180,,,,,
70,55,147,85,73,26,180,,,,,
70,55,147,85,180,73,26,,,,,
70,171,147,85,73,,,,,,,
70,171,73,147,85,219,,,,,,
70,73,171,147,85,219,,,,,,
70,73,147,171,85,219,,,,,,
70,73,85,180,171,219,,,,,,
55,73,180,171,,,,,,,,
55,73,180,171,,,,,,,,
55,73,180,171,,,,,,,,
55,73,171,180,,,,,,,,
55,73,171,180,,,,,,,,
73,55,171,180,,,,,,,,
73,55,171,180,,,,,,,,
73,55,171,,,,,,,,,
73,171,61,55,,,,,,,,
73,55,171,61,,,,,,,,
61,73,55,171,,,,,,,,
61,73,55,171,,,,,,,,
73,171,61,55,,,,,,,,
171,73,61,55,,,,,,,,
171,61,73,55,,,,,,,,
171,73,61,55,,,,,,,,
171,61,73,55,,,,,,,,
171,61,73,,,,,,,,,
171,61,73,85,56,,,,,,,
61,171,73,85,56,,,,,,,
61,171,73,56,85,55,,,,,,
61,171,73,85,55,56,,,,,,
61,171,55,85,73,56,,,,,,
171,61,55,56,73,85,67,,,,,
171,61,55,73,56,85,67,,,,,
171,61,55,56,85,73,67,,,,,
171,61,55,56,85,67,73,,,,,
61,171,73,55,85,56,67,,,,,
61,73,171,55,56,85,67,,,,,
61,73,171,55,56,85,67,,,,,
73,55,61,56,67,171,302,,,,,
61,73,55,56,67,171,302,,,,,
73,61,55,56,67,171,,,,,,
73,61,55,67,56,85,171,,,,,
73,61,55,56,85,67,171,,,,,
61,73,55,67,302,56,171,85,,,,
61,73,55,67,302,56,85,171,,,,
73,61,82,55,171,67,302,56,85,,,
73,61,82,55,171,67,302,85,56,,,
73,61,171,55,67,85,56,302,82,,,
61,82,70,171,67,55,85,56,219,97,,
