70,159,26,,,,,,,
70,159,26,,,,,,,
70,159,,,,,,,,
70,159,,,,,,,,
70,159,,,,,,,,
70,159,144,26,,,,,,
70,159,26,144,,,,,,
70,159,26,144,,,,,,
70,159,26,144,,,,,,
70,159,26,144,,,,,,
70,159,180,26,144,,,,,
70,159,180,26,,,,,,
70,159,180,26,,,,,,
70,159,180,26,192,,,,,
70,180,159,26,192,,,,,
70,159,192,180,26,,,,,
70,180,159,192,26,,,,,
70,180,159,26,192,,,,,
70,180,159,26,,,,,,
70,180,159,26,,,,,,
70,180,159,26,,,,,,
70,180,159,26,,,,,,
70,180,159,,,,,,,
70,180,159,,,,,,,
70,180,,,,,,,,
70,180,,,,,,,,
70,180,,,,,,,,
180,70,,,,,,,,
180,70,,,,,,,,
180,70,,,,,,,,
180,70,,,,,,,,
180,70,159,,,,,,,
180,70,159,,,,,,,
180,70,159,,,,,,,
180,70,,,,,,,,
180,70,159,,,,,,,
180,70,159,,,,,,,
180,159,70,171,,,,,,
55,180,159,192,70,171,,,,
55,180,159,192,70,171,,,,
55,159,180,192,70,,,,,
180,55,192,70,159,,,,,
180,55,70,159,192,,,,,
180,159,70,192,55,171,,,,
180,159,70,171,192,55,,,,
180,55,70,159,192,171,,,,
180,159,192,70,171,55,,,,
180,159,70,55,171,192,,,,
180,159,171,192,70,55,,,,
180,55,159,70,192,171,,,,
180,55,192,159,70,171,,,,
180,55,159,192,171,70,,,,
180,55,159,70,171,192,,,,
180,55,159,70,171,192,,,,
55,180,70,192,159,171,,,,
180,55,70,192,171,159,,,,
55,180,70,192,159,171,,,,
55,180,70,192,159,171,,,,
55,180,70,171,192,159,,,,
55,180,70,192,159,171,144,,,
55,180,70,192,159,171,144,,,
55,180,192,70,171,159,144,,,
55,180,70,192,171,159,61,,,
55,180,70,192,171,159,61,,,
180,55,70,192,159,171,61,,,
180,55,70,159,61,171,,,,
180,55,70,192,159,61,171,,,
56,55,70,192,171,61,159,85,,
55,70,56,192,159,61,85,171,,
55,171,61,159,192,56,70,,,
55,171,192,61,159,56,70,,,
55,171,61,159,,,,,,
55,171,61,159,,,,,,
55,171,61,,,,,,,
55,171,61,,,,,,,
55,171,61,,,,,,,
171,55,61,,,,,,,
171,55,159,,,,,,,
171,55,61,159,,,,,,
171,55,61,159,,,,,,
171,55,61,159,,,,,,
171,55,61,159,,,,,,
171,55,61,,,,,,,
171,55,61,,,,,,,
171,55,61,,,,,,,
171,55,61,,,,,,,
171,55,61,,,,,,,
171,55,61,,,,,,,
171,55,61,,,,,,,
171,55,61,,,,,,,
171,55,,,,,,,,
171,55,,,,,,,,
171,55,61,,,,,,,
171,55,61,,,,,,,
171,159,55,70,,,,,,
171,159,55,70,,,,,,
55,171,67,159,70,,,,,
55,171,67,73,70,,,,,
55,171,70,67,73,,,,,
55,192,171,70,73,,,,,
55,192,171,70,,,,,,
55,192,171,73,70,,,,,
55,192,171,70,73,,,,,
55,171,73,,,,,,,
55,171,,,,,,,,
55,171,73,,,,,,,
55,171,70,73,,,,,,
61,55,171,70,73,,,,,
61,55,171,73,70,,,,,
55,61,73,171,192,70,,,,
55,61,171,192,73,70,,,,
55,171,73,61,192,70,,,,
61,55,171,192,70,73,,,,
73,55,171,192,61,70,,,,
73,61,55,171,192,70,,,,
73,55,171,61,70,,,,,
73,171,55,61,192,70,,,,
171,180,61,70,55,192,67,,,
171,70,61,180,192,55,67,,,
171,61,55,70,192,180,,,,
171,61,70,55,192,180,,,,
73,61,70,55,180,,,,,
73,61,55,70,180,,,,,
73,61,70,55,180,,,,,
171,61,55,70,180,,,,,
