192,70,56,171,159,147,,,,,
192,70,171,56,159,147,,,,,
70,171,26,56,159,147,219,97,,,
171,70,159,85,56,26,147,302,219,97,
171,70,159,85,26,147,219,302,97,,
171,70,85,159,26,147,302,219,97,,
171,70,85,147,159,56,26,97,219,,
171,70,159,85,56,26,147,302,219,97,
70,171,159,85,56,26,147,302,219,97,
70,171,85,159,147,56,26,302,219,97,
70,171,85,159,26,147,56,302,219,97,
85,171,159,26,70,147,56,180,302,219,97
70,85,171,159,26,147,56,180,219,97,302
70,85,159,26,147,56,67,219,97,,
70,85,159,26,67,147,219,97,,,
70,85,26,159,67,73,147,219,171,97,
70,85,26,171,159,67,73,219,97,302,
70,85,26,171,147,67,73,302,219,97,159
70,85,192,171,73,,,,,,
70,85,171,192,180,73,67,302,,,
70,171,85,192,180,56,67,302,,,
70,171,192,85,56,180,67,,,,
70,171,85,192,67,302,,,,,
70,171,85,192,67,302,,,,,
70,171,85,192,67,302,,,,,
70,171,85,192,67,302,,,,,
70,171,85,67,56,192,302,,,,
70,171,85,192,56,,,,,,
70,85,171,56,,,,,,,
61,70,302,171,67,,,,,,
61,70,159,302,171,192,67,,,,
70,61,302,159,171,192,67,,,,
70,61,302,159,171,192,67,,,,
70,61,302,159,171,67,,,,,
70,61,302,159,171,67,,,,,
61,70,302,171,159,67,,,,,
61,70,302,171,56,159,67,192,,,
61,70,302,171,56,159,67,192,85,,
61,70,302,56,67,171,85,192,73,,
61,302,70,56,85,171,73,67,,,
61,302,70,56,171,85,55,67,,,
61,70,302,56,67,73,171,85,,,
61,73,55,302,171,85,67,,,,
61,56,302,55,85,171,73,67,,,
61,56,302,85,55,171,73,192,67,,
61,302,85,73,67,192,,,,,
61,171,302,55,67,85,192,,,,
61,302,171,67,55,85,192,159,,,
61,302,171,85,67,159,192,,,,
302,26,171,73,67,85,219,97,192,,
302,85,171,26,67,70,73,219,97,192,
85,302,26,73,67,171,219,97,,,
85,56,302,70,192,67,26,73,219,97,
85,56,302,70,73,192,26,219,97,,
85,56,302,70,192,219,97,26,,,
85,56,302,192,70,219,97,26,,,
85,56,192,302,219,97,,,,,
85,56,192,219,97,,,,,,
85,56,302,192,219,97,,,,,
85,56,302,192,219,97,,,,,
85,56,302,192,219,97,,,,,
56,85,302,192,67,219,97,,,,
85,56,302,26,192,67,219,,,,
85,56,302,26,192,67,219,,,,
85,302,67,192,219,,,,,,
85,302,67,219,,,,,,,
302,85,67,219,97,,,,,,
302,85,67,219,97,,,,,,
302,85,56,67,70,219,97,,,,
85,61,56,67,70,219,,,,,
85,61,56,67,70,219,97,,,,
85,61,56,67,44,70,219,97,,,
61,85,56,26,67,44,70,219,97,,
85,61,56,26,67,44,70,219,97,,
61,85,56,67,44,70,219,97,,,
85,61,56,67,70,219,97,147,,,
61,85,56,67,219,97,147,,,,
61,85,56,67,219,97,147,,,,
85,61,56,67,219,97,,,,,
85,61,67,219,97,,,,,,
85,61,56,67,44,219,97,,,,
85,61,56,67,44,219,97,,,,
85,56,61,67,44,219,97,,,,
85,61,56,67,219,97,,,,,
61,56,85,44,67,219,97,,,,
61,85,44,56,67,219,97,,,,
61,44,85,56,67,219,97,,,,
44,85,56,67,61,219,97,147,,,
44,192,56,85,67,219,61,97,147,,
44,85,192,56,67,219,97,,,,
44,61,192,56,85,67,219,97,,,
44,61,192,67,219,97,,,,,
44,192,67,61,219,97,,,,,
44,56,192,67,61,219,97,,,,
44,56,192,67,97,219,,,,,
44,56,192,67,61,219,97,,,,
44,61,192,56,67,219,97,,,,
44,61,192,67,56,219,97,,,,
44,26,192,61,56,67,85,219,,,
44,85,61,26,192,67,56,219,97,,
44,85,61,192,26,67,56,219,97,,
85,56,67,44,26,192,82,61,219,97,
85,26,56,67,44,192,82,61,219,97,
26,56,44,85,192,82,67,61,219,97,
26,56,67,44,192,82,61,219,97,,
192,56,26,67,44,82,219,61,97,,
192,26,56,67,85,44,61,219,97,,
26,192,56,67,85,44,219,97,,,
26,192,56,85,67,44,219,,,,
26,192,85,56,67,219,,,,,
26,192,85,56,67,219,,,,,
26,192,85,56,67,219,,,,,
192,26,85,56,67,219,,,,,
26,192,85,56,67,219,,,,,
26,192,85,56,67,219,97,,,,
192,26,85,56,67,219,97,,,,
26,192,85,56,219,97,,,,,
26,85,192,56,44,67,219,97,,,
26,85,192,56,67,44,219,97,,,
26,85,192,171,56,67,44,219,97,,
26,85,192,56,44,128,219,171,97,,
26,85,192,56,44,70,171,219,128,97,
26,85,192,56,171,70,219,97,128,,
26,85,192,56,171,44,128,219,97,,
26,85,192,56,171,44,128,70,219,97,
26,85,192,56,44,128,70,219,97,,
26,85,44,192,171,56,128,70,219,97,
26,85,56,171,44,192,128,219,97,,
26,85,56,44,171,128,219,97,,,
26,85,56,44,171,128,219,97,,,
26,85,56,44,171,128,219,97,,,
26,85,56,44,192,171,97,219,,,
26,56,85,192,44,219,97,,,,
26,56,192,85,44,219,97,,,,
26,56,192,85,44,219,97,,,,
56,26,85,192,44,219,97,,,,
26,56,85,192,44,128,97,219,,,
26,56,192,85,44,128,219,97,,,
192,56,26,85,44,219,97,,,,
192,56,26,85,219,97,,,,,
56,192,26,85,219,,,,,,
192,56,85,26,44,128,219,97,,,
56,192,85,26,44,128,219,97,,,
192,56,85,26,44,171,219,97,,,
192,56,85,26,171,44,219,97,,,
56,192,26,85,171,44,219,97,,,
56,192,26,85,171,44,219,97,,,
56,192,171,26,85,219,97,,,,
56,192,26,171,85,219,97,,,,
