192,56,44,85,159,302,70,,,,
192,56,85,70,159,44,302,,,,
192,56,159,70,44,302,,,,,
192,56,302,85,44,159,70,,,,
56,192,159,70,44,85,302,,,,
56,192,159,44,85,302,,,,,
56,192,159,44,,,,,,,
56,192,159,171,44,,,,,,
56,192,159,171,44,,,,,,
56,26,159,85,171,61,44,219,,,
159,26,56,85,61,44,171,219,97,,
26,147,192,171,85,302,61,44,,,
56,26,147,192,85,61,171,44,219,97,302
56,26,192,302,171,85,61,219,97,,
56,26,192,171,61,302,85,219,,,
56,26,302,192,61,219,,,,,
56,26,302,192,171,61,219,,,,
302,56,26,192,61,171,219,,,,
302,56,26,61,192,171,219,97,,,
302,56,26,61,192,171,219,97,,,
56,302,26,61,192,171,219,97,,,
56,302,61,26,171,192,219,97,,,
302,26,159,61,171,192,,,,,
302,26,61,159,171,192,85,,,,
302,61,26,70,159,192,171,85,67,,
302,61,26,70,192,159,85,67,171,,
302,61,26,85,159,171,67,,,,
61,302,26,85,171,67,,,,,
302,61,67,26,171,192,85,,,,
61,67,302,85,192,26,,,,,
61,67,302,85,,,,,,,
61,302,67,159,85,,,,,,
61,67,302,159,85,,,,,,
61,302,67,85,44,159,,,,,
61,44,67,302,159,85,,,,,
61,44,26,67,302,159,85,,,,
61,44,67,26,302,159,85,192,,,
61,302,85,44,26,67,159,192,,,
61,159,302,67,85,26,44,192,,,
61,26,159,67,85,302,192,,,,
61,26,85,302,67,,,,,,
26,61,85,302,67,192,,,,,
26,61,85,302,67,192,,,,,
26,85,61,302,67,159,192,,,,
26,85,61,302,67,159,192,,,,
26,85,61,302,67,159,,,,,
26,61,85,302,159,,,,,,
26,61,85,302,159,,,,,,
26,61,85,302,67,159,,,,,
26,61,85,302,44,67,,,,,
26,61,85,302,44,70,,,,,
85,302,26,61,44,,,,,,
302,85,26,61,44,70,,,,,
302,85,26,61,44,70,,,,,
85,302,26,61,70,44,,,,,
302,85,26,61,44,67,192,70,,,
302,85,44,26,61,67,192,,,,
302,85,44,26,61,192,67,,,,
302,85,26,44,61,192,67,,,,
302,85,26,44,61,192,,,,,
302,85,44,26,192,61,,,,,
302,85,26,44,61,192,,,,,
302,85,26,44,61,192,,,,,
302,85,26,44,147,61,192,,,,
302,26,85,44,171,192,147,,,,
302,26,85,44,192,171,,,,,
302,26,44,85,67,171,192,,,,
302,26,85,171,67,192,44,,,,
302,26,192,171,44,,,,,,
302,26,85,44,67,82,192,171,,,
302,26,44,85,82,67,171,192,,,
302,26,44,85,82,192,70,171,,,
302,26,44,85,171,82,192,70,,,
302,26,85,171,44,192,70,147,,,
302,26,85,171,44,82,61,192,70,147,
302,44,159,85,26,171,192,61,70,,
302,56,159,85,61,26,171,192,147,219,97
56,302,159,85,26,171,61,147,192,219,97
56,159,302,26,192,61,147,85,219,97,171
56,302,26,192,85,159,147,171,219,97,
56,302,26,85,192,147,171,219,97,,
302,56,26,192,85,219,97,,,,
302,56,26,192,85,219,97,,,,
302,56,26,192,61,85,219,97,,,
56,302,192,26,61,85,219,97,,,
192,56,26,85,302,171,219,147,97,,
56,192,85,26,302,171,219,97,147,,
192,56,26,302,171,219,97,,,,
192,56,302,26,219,147,,,,,
26,56,192,302,85,147,219,,,,
26,192,56,147,85,219,,,,,
26,56,192,147,219,,,,,,
26,192,56,147,219,,,,,,
26,192,56,147,219,97,,,,,
26,192,56,147,219,97,70,,,,
26,56,192,302,147,159,219,97,,,
26,56,302,192,147,159,219,97,,,
26,56,302,192,147,159,219,97,,,
26,147,302,159,219,97,56,,,,
26,147,302,159,219,97,56,,,,
26,192,159,147,302,56,219,97,,,
26,192,159,56,302,219,97,147,,,
26,192,159,147,56,302,219,97,,,
26,192,159,56,147,219,97,,,,
26,192,159,147,302,70,56,219,97,,
26,44,159,147,70,219,97,,,,
26,159,302,44,70,147,219,97,,,
26,159,302,44,70,56,219,97,,,
26,159,44,70,56,302,219,97,,,
26,159,302,44,70,56,219,97,,,
26,159,302,44,70,219,97,,,,
159,26,302,44,56,219,97,,,,
159,26,302,56,44,70,97,219,,,
26,56,159,44,302,147,70,219,97,,
26,56,159,147,302,70,219,97,,,
26,56,159,147,302,70,219,97,,,
26,56,159,302,147,70,219,97,,,
26,56,159,147,67,219,302,97,,,
26,56,159,147,67,302,219,97,,,
56,26,159,70,147,67,44,302,219,97,
56,302,159,70,147,44,85,26,219,97,
56,302,159,70,44,147,85,219,97,,
56,302,159,70,44,219,97,,,,
56,302,159,44,70,147,219,97,,,
56,302,159,44,147,70,26,219,97,,
56,302,44,159,26,219,97,70,,,
56,302,159,44,26,147,67,70,219,97,
56,26,302,159,44,67,147,219,97,,
26,56,302,171,44,159,147,219,97,,
26,56,44,171,159,302,147,219,97,,
26,56,70,159,302,44,219,97,,,
26,56,70,302,219,97,,,,,
26,56,159,70,302,171,219,97,,,
