85,302,147,171,70,26,,,,
26,85,147,302,192,171,70,,,
26,85,192,302,147,171,,,,
56,26,302,171,192,147,,,,
26,302,56,70,192,171,147,,,
26,61,56,302,171,70,147,,,
302,61,56,70,26,171,,,,
302,26,70,61,56,171,,,,
302,61,26,70,171,147,44,,,
26,61,171,192,159,70,44,85,147,
61,26,159,70,192,171,44,85,147,219
302,159,26,70,171,219,,,,
302,26,56,70,159,171,219,,,
302,26,44,159,56,171,85,219,,
44,26,302,56,159,171,85,219,,
26,302,56,171,159,85,219,,,
26,56,44,302,159,171,219,,,
26,56,302,171,159,219,44,,,
26,302,56,171,159,219,44,,,
26,56,44,70,219,159,,,,
26,56,171,44,70,219,,,,
26,302,56,171,44,70,192,219,,
26,302,44,192,171,70,219,,,
26,302,44,192,171,56,219,,,
44,302,26,192,159,56,171,219,,
61,192,26,302,159,171,56,,,
159,302,61,192,171,26,56,70,,
302,159,61,171,192,56,70,26,,
302,159,171,192,61,56,26,70,85,
192,302,171,85,56,26,,,,
302,192,85,171,,,,,,
159,192,302,26,,,,,,
192,159,26,302,,,,,,
192,85,159,26,302,,,,,
192,56,85,159,26,61,302,,,
192,85,26,61,302,171,,,,
192,26,302,171,,,,,,
192,302,26,85,171,,,,,
192,26,302,85,70,171,,,,
192,26,302,85,171,70,,,,
192,26,159,85,302,171,70,,,
192,26,159,85,171,70,302,,,
192,26,85,302,159,171,70,,,
192,26,159,171,302,70,85,,,
192,159,26,70,171,302,,,,
159,192,171,302,56,70,26,,,
192,44,302,171,56,,,,,
192,302,44,171,26,56,70,,,
192,302,171,26,44,56,70,,,
192,302,171,61,44,26,56,,,
192,61,302,171,44,56,26,,,
61,192,302,56,44,171,26,,,
61,192,302,26,56,44,70,171,,
61,192,26,44,70,,,,,
61,26,44,70,,,,,,
70,44,26,61,,,,,,
171,26,302,70,44,61,,,,
