61,85,192,26,56,302,147,,,,,,
61,85,192,26,302,56,147,,,,,,
56,26,85,61,192,302,147,,,,,,
26,56,85,61,192,147,302,,,,,,
26,56,61,85,302,192,,,,,,,
56,302,61,26,192,,,,,,,,
56,302,26,61,,,,,,,,,
56,302,26,61,192,,,,,,,,
56,26,302,192,61,,,,,,,,
26,302,56,61,192,171,,,,,,,
56,302,159,192,61,85,171,67,,,,,
56,159,171,26,192,85,61,,,,,,
56,159,26,171,192,85,61,67,219,97,,,
56,26,159,44,192,61,67,85,219,97,,,
56,44,159,26,61,67,192,85,97,219,,,
56,44,159,26,61,192,85,219,97,,,,
56,44,26,159,67,192,85,61,147,219,97,,
56,26,159,302,61,85,192,67,219,97,,,
44,26,302,61,159,67,85,192,,,,,
44,26,302,61,85,159,67,192,,,,,
26,44,302,85,61,159,192,67,,,,,
26,44,61,302,85,159,67,192,,,,,
26,61,44,85,302,159,192,,,,,,
26,302,61,85,44,192,,,,,,,
302,26,61,85,44,192,,,,,,,
302,85,26,61,44,192,147,,,,,,
302,192,61,26,85,44,147,,,,,,
26,302,85,192,44,147,61,67,70,171,,,
26,302,85,192,44,147,61,70,67,171,,,
26,85,192,44,147,67,302,,,,,,
26,302,85,192,61,147,44,70,67,,,,
302,26,192,85,171,44,61,67,147,70,,,
302,26,192,171,67,85,61,44,70,147,,,
302,26,192,171,67,85,44,70,,,,,
302,26,192,171,67,85,,,,,,,
302,26,192,171,85,67,,,,,,,
302,26,192,171,61,67,44,85,,,,,
302,26,192,61,171,44,67,85,,,,,
302,26,61,44,171,70,192,,,,,,
302,44,192,61,26,85,159,70,171,,,,
44,192,26,159,302,61,85,171,,,,,
44,192,302,26,147,159,,,,,,,
44,26,192,147,85,159,302,,,,,,
44,26,192,147,85,302,,,,,,,
192,44,26,147,85,70,,,,,,,
26,44,192,147,159,70,85,302,,,,,
192,44,147,56,302,70,,,,,,,
192,44,56,147,70,302,,,,,,,
192,44,70,302,56,147,,,,,,,
192,44,56,70,147,67,171,302,159,,,,
192,44,70,302,61,56,159,147,171,67,,,
302,44,192,61,159,56,171,70,147,,,,
192,302,61,159,44,70,171,147,56,,,,
302,61,44,171,70,159,147,56,26,219,97,,
61,302,159,44,70,56,147,26,171,219,97,,
302,56,26,44,159,147,61,171,70,85,219,97,
56,26,44,159,147,61,302,85,219,97,171,70,
26,56,44,147,159,70,67,61,171,302,219,97,
26,302,44,56,147,159,61,67,70,85,171,219,97
56,26,302,61,85,67,70,147,44,171,159,219,97
56,26,302,67,171,85,44,61,70,147,159,219,97
