56,171,70,147,192,180,61,26,
56,171,70,147,192,26,,,
56,171,70,147,192,26,,,
70,171,159,192,26,,,,
70,171,159,192,26,219,,,
171,159,56,26,192,,,,
171,159,56,26,192,,,,
171,56,159,26,192,,,,
171,56,26,159,192,,,,
171,56,26,159,192,,,,
56,171,26,159,192,,,,
56,171,26,159,192,,,,
56,171,26,159,192,,,,
171,56,26,159,192,,,,
56,171,26,159,192,,,,
56,171,26,159,192,61,,,
171,56,26,159,192,61,180,,
56,171,159,192,26,180,61,,
56,171,26,180,61,192,159,,
56,26,171,192,61,180,159,,
171,56,26,192,61,159,,,
171,26,56,180,159,61,192,,
171,56,26,302,159,180,85,192,61
171,56,85,302,61,26,180,,
171,192,56,85,61,26,,,
171,192,85,56,26,61,,,
171,192,56,85,26,61,,,
192,171,56,85,26,61,,,
192,171,56,85,26,61,,,
192,171,56,85,26,61,,,
192,171,56,85,26,61,,,
192,171,56,85,26,61,,,
192,171,56,85,26,61,,,
192,171,56,85,61,26,,,
171,192,56,85,61,26,,,
171,192,56,85,61,26,,,
171,192,56,85,61,26,,,
171,192,61,56,26,,,,
171,192,61,56,,,,,
171,180,192,26,61,56,,,
171,180,26,61,56,192,,,
171,180,192,26,61,56,147,,
171,180,26,61,56,55,192,147,
171,180,26,61,55,56,,,
171,85,55,61,159,180,56,26,
171,180,55,85,61,56,159,26,
171,26,85,55,180,159,302,,
171,26,55,159,180,302,,,
171,26,180,55,159,85,302,,
171,180,26,55,85,159,,,
171,180,26,55,85,159,56,,
171,26,85,55,180,159,56,,
26,171,61,85,55,56,159,180,
26,171,180,55,85,61,56,159,
26,171,73,85,180,147,55,61,159
171,26,73,180,147,85,,,
171,26,73,180,85,147,,,
171,26,73,180,147,85,,,
171,180,26,85,55,73,147,,
171,180,55,26,73,147,,,
171,73,55,26,180,,,,
171,61,55,26,73,180,,,
171,61,55,147,180,26,73,,
171,55,61,180,26,147,73,,
171,73,55,61,26,147,180,192,
171,61,26,55,73,147,180,192,
171,73,61,55,26,147,180,192,
171,61,55,73,26,147,180,,
171,61,55,73,147,26,180,,
61,171,55,73,26,147,180,,
171,61,73,55,147,,,,
171,61,56,73,55,147,,,
61,171,73,56,55,85,26,147,
61,171,73,56,55,85,26,147,
61,73,171,56,55,85,147,,
61,73,55,56,171,147,85,,
61,56,73,55,171,85,147,,
61,56,55,73,85,171,147,26,
61,56,55,73,85,147,171,26,
61,56,55,85,73,171,147,,
61,171,56,55,85,73,147,26,
61,171,56,73,85,302,26,55,
61,171,56,73,302,55,85,,
171,70,73,56,302,55,,,
