192,85,56,147,61,44,159,,,,,
302,192,85,56,147,61,159,44,,,,
302,56,85,147,159,171,192,61,,,,
192,302,85,56,147,171,61,159,,,,
56,192,85,147,61,171,159,302,,,,
192,302,56,85,171,61,147,,,,,
302,192,56,85,147,61,171,70,,,,
302,192,56,70,85,61,147,159,171,,,
56,70,85,192,147,159,61,302,,,,
302,56,85,70,192,61,171,147,159,,,
26,56,85,61,171,147,159,70,219,,,
56,26,192,61,159,44,85,147,171,219,70,97
26,56,61,159,44,192,171,85,67,219,97,
56,26,44,61,159,171,85,67,192,219,97,
26,56,192,44,159,61,171,219,97,,,
44,56,26,192,159,61,171,97,219,,,
44,26,56,159,192,61,67,171,219,97,,
26,44,56,61,159,70,171,192,219,,,
56,44,302,61,159,192,67,,,,,
56,44,61,302,85,192,159,67,,,,
56,61,44,302,85,70,159,67,192,,,
302,56,85,61,70,44,171,159,192,,,
302,61,56,70,44,85,171,,,,,
302,61,56,171,85,44,70,,,,,
302,192,61,85,171,44,56,70,,,,
302,192,61,171,56,,,,,,,
302,192,61,171,56,159,44,67,,,,
302,192,61,56,171,44,,,,,,
302,192,171,61,56,44,,,,,,
192,26,171,56,61,159,44,67,,,,
159,192,44,61,171,26,56,67,219,97,,
159,44,192,61,26,171,56,67,85,219,97,
159,192,44,26,61,171,67,56,219,85,97,
159,26,192,44,61,67,85,219,97,,,
26,192,44,171,159,67,61,85,219,,,
26,44,192,85,171,159,61,67,219,,,
26,61,44,85,192,171,70,67,219,,,
26,61,44,85,70,82,219,,,,,
26,44,61,192,82,85,171,70,219,,,
192,26,85,44,171,56,61,82,70,219,97,
192,26,171,85,56,82,44,61,70,219,97,
192,56,85,26,171,61,44,219,97,70,,
192,56,171,67,44,85,219,70,97,,,
192,56,26,159,171,67,85,219,,,,
192,56,26,85,159,44,171,67,219,,,
192,26,56,159,85,171,44,70,219,,,
192,56,302,171,159,85,,,,,,
192,159,56,70,171,302,,,,,,
192,302,159,56,70,171,,,,,,
192,159,56,70,,,,,,,,
26,159,,,,,,,,,,
26,159,56,,,,,,,,,
26,302,159,56,,,,,,,,
26,56,302,171,159,44,,,,,,
56,302,26,159,44,171,61,,,,,
44,56,26,302,159,147,171,61,,,,
26,302,44,56,171,147,159,,,,,
302,56,26,85,44,147,171,159,,,,
26,302,85,56,159,44,171,147,,,,
