159,171,26,70,180,302,219,,,
171,26,159,180,302,70,219,,,
171,70,26,159,180,302,219,,,
171,26,159,70,180,302,219,,,
70,171,26,159,180,302,219,,,
70,171,159,26,180,302,219,,,
70,159,171,26,180,302,219,,,
70,171,159,26,180,302,219,,,
70,171,26,159,180,302,219,,,
70,171,26,159,180,302,219,,,
70,171,159,26,302,180,219,,,
70,171,26,159,180,302,219,,,
70,171,26,159,180,302,219,,,
70,171,26,159,180,302,219,,,
70,171,26,159,180,302,219,,,
70,171,26,180,159,302,219,,,
70,171,159,180,26,302,219,,,
70,26,180,159,171,85,219,,,
70,26,159,180,171,85,219,,,
70,171,26,180,159,302,219,,,
70,26,180,171,159,302,219,,,
26,70,171,180,159,219,,,,
26,159,180,70,192,171,219,,,
26,180,70,159,192,171,219,,,
26,180,70,159,171,192,219,,,
26,180,159,70,192,171,219,,,
26,159,180,70,192,171,219,,,
26,180,159,70,171,192,219,,,
26,159,180,70,192,171,219,,,
26,70,180,159,192,171,219,,,
26,180,70,159,192,219,,,,
26,180,70,159,192,219,,,,
180,70,159,192,56,219,,,,
180,70,159,192,56,219,,,,
180,159,70,192,56,219,,,,
180,70,159,192,56,219,,,,
180,70,159,192,219,,,,,
180,70,159,192,219,,,,,
180,70,192,171,219,159,,,,
180,70,171,192,219,159,,,,
180,70,171,192,219,159,,,,
180,70,171,192,219,159,,,,
180,70,171,159,192,56,219,,,
180,70,171,192,159,56,219,,,
180,171,61,70,159,192,56,219,97,
180,171,70,61,192,56,219,97,159,
180,171,70,192,302,61,56,159,219,97
180,171,70,192,56,61,302,219,159,
180,171,70,192,56,302,219,61,159,
180,171,70,192,56,302,219,61,,
180,171,70,56,192,219,97,,,
171,180,56,70,192,61,219,97,,
171,180,56,70,61,73,192,219,97,
171,180,56,70,192,73,61,219,,
171,180,61,56,70,73,219,192,,
171,180,61,219,,,,,,
171,180,61,55,219,,,,,
171,56,61,55,219,,,,,
171,180,61,56,55,219,,,,
180,171,56,61,55,219,,,,
171,61,56,55,180,219,,,,
171,56,61,55,219,180,,,,
171,61,56,180,55,219,,,,
171,61,56,55,180,219,,,,
171,180,61,56,55,219,,,,
171,180,73,61,56,55,219,,,
171,61,73,55,56,180,70,219,,
171,73,70,56,55,192,219,97,,
73,171,70,56,55,192,219,97,,
73,171,192,70,55,56,219,180,,
73,171,56,55,70,192,219,180,,
171,73,56,70,55,219,,,,
171,73,56,70,55,219,,,,
