61,56,26,192,147,85,219,97,,,,
302,70,61,56,85,147,192,26,219,97,,
302,171,70,61,85,192,219,,,,,
302,171,192,56,26,70,61,147,85,219,,
302,26,171,192,70,147,61,85,56,219,,
26,192,302,56,171,70,61,219,,,,
192,26,171,56,302,85,61,70,219,,,
192,26,56,61,171,302,147,85,219,,,
192,56,61,26,302,171,70,147,219,,,
192,56,61,302,171,70,26,219,97,,,
56,26,192,61,70,302,171,219,97,,,
302,192,61,56,171,70,67,26,219,97,,
61,302,26,56,192,171,70,67,219,97,,
61,26,302,56,192,70,171,67,147,44,219,97
302,26,56,171,159,67,192,70,147,44,,
26,159,85,302,147,70,56,171,192,,,
302,61,85,70,171,147,56,,,,,
61,302,85,147,171,44,56,70,192,219,,
61,85,44,70,302,171,219,192,147,56,,
61,302,85,171,70,44,56,219,147,,,
61,302,85,171,56,219,,,,,,
61,302,171,44,85,56,219,,,,,
302,171,26,56,44,,,,,,,
302,171,56,44,26,192,,,,,,
302,171,85,44,26,56,192,,,,,
302,171,192,26,85,67,56,44,,,,
302,171,192,70,26,67,44,,,,,
302,171,70,192,26,67,,,,,,
171,302,70,44,26,192,67,,,,,
70,171,26,302,44,192,67,,,,,
159,26,44,192,70,302,171,67,,,,
70,159,44,26,302,192,67,,,,,
44,159,302,192,171,26,67,70,,,,
85,44,171,159,26,302,70,192,67,,,
85,302,192,44,171,26,67,70,,,,
44,192,85,302,171,26,70,,,,,
44,192,56,302,26,171,85,70,,,,
61,192,171,85,56,302,,,,,,
192,26,171,61,56,85,302,159,,,,
26,302,171,192,159,85,147,61,,,,
192,26,159,302,171,61,147,85,,,,
159,26,302,61,171,192,,,,,,
26,159,192,302,171,67,61,,,,,
192,26,302,67,159,85,171,,,,,
192,85,26,159,302,67,,,,,,
192,26,85,67,159,171,302,,,,,
192,26,171,67,159,302,85,61,,,,
192,26,171,159,67,85,147,61,302,,,
192,302,85,67,159,26,147,171,,,,
192,302,159,171,85,67,,,,,,
302,159,192,171,85,,,,,,,
302,159,85,192,171,,,,,,,
302,171,85,159,26,192,,,,,,
85,171,302,159,56,26,192,147,70,,,
159,302,171,85,56,147,192,61,,,,
44,302,85,171,192,56,147,,,,,
44,192,171,85,56,302,147,,,,,
44,192,85,302,147,,,,,,,
302,171,85,192,44,147,70,,,,,
26,302,192,61,85,44,147,171,70,,,
26,192,61,85,147,302,,,,,,
192,26,56,171,61,302,70,,,,,
61,192,56,26,70,171,,,,,,
302,61,26,56,192,147,85,,,,,
302,192,26,56,61,44,147,85,,,,
171,302,26,61,192,44,70,56,147,85,,
