70,26,159,171,192,147,,,
70,26,171,192,159,147,,,
70,26,171,159,192,,,,
26,171,192,159,56,,,,
26,171,56,192,159,,,,
26,171,56,192,159,,,,
26,56,171,192,159,,,,
26,56,171,159,192,180,,,
26,56,192,171,159,147,180,,
56,26,192,171,147,180,159,,
26,56,171,192,147,180,159,,
26,56,159,192,171,,,,
26,56,192,171,159,,,,
56,26,192,171,159,,,,
56,26,192,159,171,,,,
56,171,26,192,159,,,,
56,171,26,192,159,,,,
56,171,159,26,192,,,,
56,171,192,26,,,,,
56,171,26,192,,,,,
56,171,159,192,26,,,,
56,171,159,192,26,,,,
56,171,159,26,192,,,,
56,171,26,159,180,192,,,
171,56,26,180,159,192,,,
171,180,56,26,159,61,192,,
171,56,26,180,61,159,,,
171,26,56,61,180,159,,,
26,171,56,61,,,,,
26,171,56,61,,,,,
26,171,56,61,,,,,
171,26,61,56,,,,,
171,26,56,61,85,,,,
171,61,26,56,85,180,,,
171,56,61,85,180,55,26,,
171,56,61,85,180,55,26,,
171,56,61,26,85,55,180,,
56,171,61,26,147,85,55,180,
26,171,56,61,180,55,147,85,
70,171,180,61,,,,,
70,171,56,180,61,,,,
70,180,171,61,56,,,,
56,180,61,70,171,73,,,
56,61,70,180,73,171,,,
56,73,61,70,171,180,,,
180,56,73,171,61,70,,,
180,56,73,70,171,61,,,
180,56,73,171,70,,,,
56,180,171,61,70,73,,,
56,73,180,171,70,61,,,
26,56,70,180,171,61,,,
56,26,171,70,180,,,,
56,61,26,171,70,180,,,
56,26,61,171,70,,,,
56,171,26,70,61,,,,
56,26,171,61,70,302,,,
56,171,26,180,70,61,192,302,
56,26,180,61,73,70,302,,
70,56,61,73,26,302,192,180,
70,56,73,61,55,302,26,180,
73,70,56,55,61,26,,,
73,70,56,55,61,26,,,
70,73,56,55,61,26,,,
70,73,56,55,61,85,,,
70,56,61,55,73,302,85,,
70,56,61,55,73,302,85,,
70,61,56,55,73,67,302,85,
70,73,61,56,55,85,67,,
70,73,61,56,55,85,67,,
73,70,61,55,56,85,67,,
73,61,70,56,55,302,67,,
73,70,61,56,55,67,302,,
70,61,55,171,56,67,302,,
70,171,61,302,55,56,67,192,
70,61,171,302,55,56,192,,
61,70,55,56,302,67,171,192,
70,61,55,56,302,67,192,171,
61,70,56,67,192,171,302,,
61,55,56,70,171,302,67,192,
61,70,56,171,55,67,302,192,
61,56,55,70,302,192,171,,
61,56,70,302,192,171,,,
61,56,70,302,192,171,,,
61,56,55,70,302,192,,,
302,56,61,55,70,192,,,
302,56,61,55,70,192,,,
302,56,61,70,,,,,
302,56,61,70,,,,,
56,302,61,70,,,,,
302,56,61,70,,,,,
302,56,61,67,70,,,,
302,56,61,67,70,82,,,
73,56,61,67,70,82,192,,
73,56,67,61,70,192,,,
73,56,61,67,70,192,,,
61,73,67,56,70,,,,
61,73,85,56,67,70,,,
61,85,73,70,67,,,,
61,73,85,70,,,,,
61,67,85,73,70,,,,
61,67,85,73,70,82,,,
